Run #1	Run #1
Time (s)	Voltage (V)
27.900	3.364
27.950	3.364
28.000	3.359
28.050	3.364
28.100	3.364
28.150	3.364
28.200	3.364
28.250	3.354
28.300	3.364
28.350	3.364
28.400	3.364
28.450	3.359
28.500	3.364
28.550	3.364
28.600	3.364
28.650	3.364
28.700	3.364
28.750	3.359
28.800	3.364
28.850	3.354
28.900	3.369
28.950	3.359
29.000	3.364
29.050	3.364
29.100	3.369
29.150	3.359
29.200	3.369
29.250	3.364
29.300	3.369
29.350	3.364
29.400	3.364
29.450	3.359
29.500	3.364
29.550	3.359
29.600	3.369
29.650	3.354
29.700	3.369
29.750	3.364
29.800	3.364
29.850	3.364
29.900	3.364
29.950	3.359
30.000	3.379
30.050	3.364
30.100	3.364
30.150	3.364
30.200	3.364
30.250	3.359
30.300	3.369
30.350	3.364
30.400	3.364
30.450	3.364
30.500	3.364
30.550	3.364
30.600	3.364
30.650	3.359
30.700	3.364
30.750	3.364
30.800	3.364
30.850	3.364
30.900	3.364
30.950	3.364
31.000	3.364
31.050	3.364
31.100	3.369
31.150	3.364
31.200	3.374
31.250	3.359
31.300	3.364
31.350	3.364
31.400	3.364
31.450	3.364
31.500	3.364
31.550	3.364
31.600	3.369
31.650	3.364
31.700	3.364
31.750	3.364
31.800	3.369
31.850	3.364
31.900	3.369
31.950	3.364
32.000	3.364
32.050	3.369
32.100	3.369
32.150	3.364
32.200	3.369
32.250	3.369
32.300	3.364
32.350	3.364
32.400	3.369
32.450	3.364
32.500	3.369
32.550	3.364
32.600	3.369
32.650	3.364
32.700	3.364
32.750	3.369
32.800	3.364
32.850	3.369
32.900	3.364
32.950	3.364
33.000	3.364
33.050	3.364
33.100	3.364
33.150	3.364
33.200	3.379
33.250	3.364
33.300	3.369
33.350	3.359
33.400	3.364
33.450	3.364
33.500	3.364
33.550	3.364
33.600	3.369
33.650	3.364
33.700	3.359
33.750	3.364
33.800	3.369
33.850	3.364
33.900	3.364
33.950	3.364
34.000	3.369
34.050	3.364
34.100	3.369
34.150	3.364
34.200	3.364
34.250	3.369
34.300	3.369
34.350	3.364
34.400	3.369
34.450	3.369
34.500	3.364
34.550	3.364
34.600	3.369
34.650	3.364
34.700	3.369
34.750	3.364
34.800	3.364
34.850	3.364
34.900	3.364
34.950	3.364
35.000	3.369
35.050	3.364
35.100	3.369
35.150	3.364
35.200	3.364
35.250	3.359
35.300	3.364
35.350	3.364
35.400	3.364
35.450	3.364
35.500	3.369
35.550	3.364
35.600	3.369
35.650	3.359
35.700	3.364
35.750	3.369
35.800	3.364
35.850	3.359
35.900	3.364
35.950	3.364
36.000	3.369
36.050	3.364
36.100	3.364
36.150	3.364
36.200	3.364
36.250	3.364
36.300	3.364
36.350	3.364
36.400	3.364
36.450	3.359
36.500	3.364
36.550	3.364
36.600	3.364
36.650	3.364
36.700	3.364
36.750	3.364
36.800	3.369
36.850	3.364
36.900	3.364
36.950	3.364
37.000	3.364
37.050	3.364
37.100	3.364
37.150	3.359
37.200	3.369
37.250	3.359
