Run #1	Run #1
Time (s)	Voltage (V)
33.950	3.403
34.000	3.408
34.050	3.403
34.100	3.403
34.150	3.403
34.200	3.403
34.250	3.403
34.300	3.403
34.350	3.403
34.400	3.403
34.450	3.403
34.500	3.403
34.550	3.403
34.600	3.403
34.650	3.403
34.700	3.403
34.750	3.403
34.800	3.403
34.850	3.398
34.900	3.403
34.950	3.403
35.000	3.403
35.050	3.403
35.100	3.403
35.150	3.403
35.200	3.403
35.250	3.403
35.300	3.408
35.350	3.403
35.400	3.403
35.450	3.403
35.500	3.403
35.550	3.403
35.600	3.403
35.650	3.398
35.700	3.403
35.750	3.403
35.800	3.403
35.850	3.398
35.900	3.403
35.950	3.398
36.000	3.403
36.050	3.398
36.100	3.403
36.150	3.398
36.200	3.398
36.250	3.398
36.300	3.403
36.350	3.398
36.400	3.403
36.450	3.398
36.500	3.398
36.550	3.398
36.600	3.398
36.650	3.398
36.700	3.398
36.750	3.398
36.800	3.398
36.850	3.398
36.900	3.398
36.950	3.398
37.000	3.398
37.050	3.398
37.100	3.398
37.150	3.394
37.200	3.394
37.250	3.394
37.300	3.394
37.350	3.394
37.400	3.394
37.450	3.394
37.500	3.389
37.550	3.394
37.600	3.394
37.650	3.394
37.700	3.394
37.750	3.389
37.800	3.394
37.850	3.389
37.900	3.389
37.950	3.389
38.000	3.394
38.050	3.394
38.100	3.389
38.150	3.389
38.200	3.389
38.250	3.389
38.300	3.389
38.350	3.389
38.400	3.389
38.450	3.394
38.500	3.394
38.550	3.394
38.600	3.389
38.650	3.389
38.700	3.389
38.750	3.394
38.800	3.394
38.850	3.394
38.900	3.389
38.950	3.394
39.000	3.394
39.050	3.394
39.100	3.394
39.150	3.394
39.200	3.394
39.250	3.394
39.300	3.394
39.350	3.398
39.400	3.394
39.450	3.398
39.500	3.398
39.550	3.398
39.600	3.398
39.650	3.398
39.700	3.398
39.750	3.398
39.800	3.398
39.850	3.403
39.900	3.403
39.950	3.403
40.000	3.398
40.050	3.403
40.100	3.403
40.150	3.403
40.200	3.403
40.250	3.403
40.300	3.408
40.350	3.408
40.400	3.408
40.450	3.408
40.500	3.408
40.550	3.408
40.600	3.408
40.650	3.408
40.700	3.408
40.750	3.408
40.800	3.408
40.850	3.413
40.900	3.408
40.950	3.413
